menu_provider_key,menu_provider_label,provider_key,fornitore,commodity,tipo_prezzo,nome_offerta,codice_offerta,data_inizio,data_fine,prezzo_calcolo,quota_fissa_calcolo,azione,motivi,url_offerta,fonte,score
"illum","Illumia","illum","Illumia","luce","fisso","Energia Lunga Luce Special","000155ESFML04XXZZ03963Z260611E01","11/06/2026_00:00:00","10/07/2026_23:59:59","0.117997","108","pronta_fisso","prezzo fisso domestico leggibile","https://www.illumia.it/casa/luce/offerte-illumia-generalizzate/?p=null","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.880"
"sorgenia","Sorgenia","sorgenia","Sorgenia","luce","fisso","Next Energy Hybrid","000390ESFML01XXES014399010000000","19/06/2026_00:00:00","30/06/2026_00:00:00","0.121","108","pronta_fisso","prezzo fisso domestico leggibile","https://www.sorgenia.it/offerte-luce-e-gas-casa","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.880"
"eon","E.ON","eon","E.ON Energia","luce","fisso","E.ON Luce Premia","000362ESFML01XXZL16S2DCB0000A000","18/06/2026_00:00:00","25/06/2026_23:59:59","0.1185","109.2311","pronta_fisso","prezzo fisso domestico leggibile","https://www.eon-energia.com/luce/casa/offerta-luce-prezzo-fisso-24-mesi.html","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.879"
"eon","E.ON","eon","E.ON Energia","luce","fisso","E.ON LuceClick - Amico new","000362ESFML01XXL616S2DA00000A000","18/06/2026_00:00:00","25/06/2026_23:59:59","0.1185","109.2311","pronta_fisso","prezzo fisso domestico leggibile","https://www.eon-energia.com/eon-porta-un-amico.html","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.879"
"argos","Argos","argos","Argos","luce","fisso","LUCE FIX MONO FACILE","025767ESFML01XXXXXEEDOMFFAC0626M","30/05/2026_00:00:00","13/07/2026_23:59:59","0.143","108","pronta_fisso","prezzo fisso domestico leggibile","https://www.argos.company/offerta-luce-fissa-facile-monoraria/","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.878"
"argos","Argos","argos","Argos","luce","fisso","LUCE FIX MONO SEGUGIO","025767ESFML01XXXXXEEDOMFSEG0626M","30/05/2026_00:00:00","13/07/2026_23:59:59","0.143","108","pronta_fisso","prezzo fisso domestico leggibile","https://www.argos.company/offerta-luce-fissa-mono-segugio/","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.878"
"enercom","Enercom","enercom","Enercom","luce","fisso","EQUA LUCE","000732ESFML01XXEQED2606XXXXXXXXX","01/06/2026_23:59:00","30/06/2026_23:59:00","0.149","110","pronta_fisso","prezzo fisso domestico leggibile","http://www.enercom.it/offer/equa-luce/","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.875"
"a2a","A2A Energia","a2a","A2A Energia","luce","fisso","A2A Start Luce","000294ESFML01XXA2AStart260632217","15/06/2026_00:00:00","06/07/2026_23:59:59","0.139","114","pronta_fisso","prezzo fisso domestico leggibile","https://casa.a2aenergia.eu/a2a-start","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.872"
"a2a","A2A Energia","a2a","A2A Energia","luce","fisso","A2A Start Luce","000294ESFML01XXA2AStart260632225","15/06/2026_00:00:00","06/07/2026_23:59:59","0.139","114","pronta_fisso","prezzo fisso domestico leggibile","https://casa.a2aenergia.eu/a2a-start","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.872"
"dolomiti","Dolomiti Energia","dolomiti","Dolomiti Energia","luce","fisso","DOLOMITI FISSO LUCE 120","000139ESFML01XXW77165WR000000000","25/06/2026_00:00:00","08/07/2026_00:00:00","0.099","120","pronta_fisso","prezzo fisso domestico leggibile","https://www.dolomitienergia.it/offerte-casa/luce/dolomiti-fisso-luce-120.html","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.870"
